Metric Group,Metric Abbreviation,Metric Name / Description,Window size (Kb),Reference Celltype,Reference Genome,Source
Epigenetic,H2BK20ac.10k,H2BK20ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H2BK5ac.10k,H2BK5ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H2BK5me1.10k,H2BK5me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K14ac.10k,H3K14ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K18ac.10k,H3K18ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K23ac.10k,H3K23ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K27ac.10k,H3K27ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K27me1.10k,H3K27me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K27me2.10k,H3K27me2 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K27me3.10k,H3K27me3 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K36ac.10k,H3K36ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K36me1.10k,H3K36me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K36me3.10k,H3K36me3 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K4ac.10k,H3K4ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K4me1.10k,H3K4me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K4me2.10k,H3K4me2 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K4me3.10k,H3K4me3 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K79me1.10k,H3K79me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K79me2.10k,H3K79me2 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K79me3.10k,H3K79me3 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K9ac.10k,H3K9ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K9me1.10k,H3K9me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K9me2.10k,H3K9me2 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3K9me3.10k,H3K9me3 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3R2me1.10k,H3R2me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H3R2me2.10k,H3R2me2 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4K12ac.10k,H4K12ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4K16ac.10k,H4K16ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4K20me1.10k,H4K20me1 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4K20me3.10k,H4K20me3 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4K5ac.10k,H4K5ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4K8ac.10k,H4K8ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4K91ac.10k,H4K91ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H4R3me2.10k,H4R3me2 counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,CTCF.10k,CTCF sites within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,NRSF.10k,NRSF or REST sites within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,PolII.10k,PolII binding sites within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Brd2_promoters.10k,Brd2 promotors within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Brd3_promoters.10k,Brd3 promotors within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Brd4_promoters.10k,Brd4 promotors within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,HP1a_promoters.10k,HP1aphla promotors within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,HP1b_promoters.10k,HP1beta promotors within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Act_CD4_HDAC6.10k,HDAC6 binding in Activated CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Act_CD4_Tip60.10k,Tip60 bindiing in Activated CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,ActivatedNucleosomes.10k,Activated Nucleosomes,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,RestingNucleosomes.10k,Resting Nucleosomes,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_CBP.10k,CBP binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_HDAC1.10k,HDAC1 binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_HDAC2.10k,HDAC2 binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_HDAC3.10k,HDAC3 binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_HDAC6.10k,HDAC6 binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_MOF.10k,MOF binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_p300.10k,p300 binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_PCAF.10k,PCAF binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Bound Proteins,Rest_CD4_Tip60.10k,Tip60 binding in Resting CD4 Tcells within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
